################################################################################
# Data file for Pacific herring stock assessment using iSCAM (v2)
# Region(s):	Central Coast
# Created:	2017-08-03
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2017	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0	0.8938	0.1062	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974 0.9 1. 1. 1. 1. 1. 1. 1.	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
99	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1951	1	1	1	0	1	42.458
1952	1	1	1	0	1	33.195
1953	1	1	1	0	1	0.768
1954	1	1	1	0	1	24.616
1955	1	1	1	0	1	11.594
1956	1	1	1	0	1	43.627
1957	1	1	1	0	1	23.261
1958	1	1	1	0	1	9.849
1959	1	1	1	0	1	27.87
1960	1	1	1	0	1	4.037
1961	1	1	1	0	1	31.704
1962	1	1	1	0	1	15.709
1963	1	1	1	0	1	44.054
1964	1	1	1	0	1	31.895
1965	1	1	1	0	1	15.67
1966	1	1	1	0	1	37.482
1967	1	1	1	0	1	21.89
1968	1	1	1	0	1	1.528
1970	1	1	1	0	1	0.209
1971	1	1	1	0	1	3.614
1972	1	1	1	0	1	0.388
1973	1	1	1	0	1	0.035
1977	1	1	1	0	1	0.32
1979	1	1	1	0	1	0.005
1980	1	1	1	0	1	0.01
1981	1	1	1	0	1	0.006
1982	1	1	1	0	1	0.041
1984	1	1	1	0	1	0.002
1986	1	1	1	0	1	0.038
1988	1	1	1	0	1	0.028
1992	1	1	1	0	1	0.088
1972	2	1	1	0	1	8.755
1973	2	1	1	0	1	6.653
1974	2	1	1	0	1	3.621
1975	2	1	1	0	1	3.343
1976	2	1	1	0	1	6.198
1977	2	1	1	0	1	3.881
1978	2	1	1	0	1	4.769
1981	2	1	1	0	1	0.263
1982	2	1	1	0	1	2.258
1983	2	1	1	0	1	2.061
1984	2	1	1	0	1	3.588
1985	2	1	1	0	1	2.915
1986	2	1	1	0	1	2.173
1987	2	1	1	0	1	2.695
1988	2	1	1	0	1	3.529
1989	2	1	1	0	1	6.531
1990	2	1	1	0	1	5.305
1991	2	1	1	0	1	7.097
1992	2	1	1	0	1	7.163
1993	2	1	1	0	1	8.478
1994	2	1	1	0	1	9.757
1995	2	1	1	0	1	8.131
1996	2	1	1	0	1	3.897
1997	2	1	1	0	1	3.276
1998	2	1	1	0	1	7.976
1999	2	1	1	0	1	6.013
2000	2	1	1	0	1	6.394
2001	2	1	1	0	1	5.613
2002	2	1	1	0	1	2.894
2003	2	1	1	0	1	2.299
2004	2	1	1	0	1	2.988
2005	2	1	1	0	1	3.778
2006	2	1	1	0	1	3.072
2007	2	1	1	0	1	0.398
2015	2	1	1	0	1	0.626
